ref,text
027,"Де щастя упало, там і приятелів мало."
027,"Так воно прилучилося, що щастя за біду зачепилося."
027,"Батько був середній хазяїн: торби по боках, а сам посередині."
027,"А, здорові, діди! Чи не маєте біди? То в мене купіть або й так візьміть."
027,Моє господарство в міх та й на плечі!
027,"Радий старець і тому, що пошив нову торбу."
028,Вали на сірого — сірий повезе!
028,"Наймають до телят, а роби, що велять!"
028,"Така честь, як собаці в ярмарок: або всюди ганяють, або хазяїн до воза прив'яже."
028,"Від вогню біжу, а в воду скачу!"
028,"Тікав від диму, та впав у вогонь."
028,"Не думав, не гадав, як в біду попав."
028,"Життя вільне, як собаці на прив'язі!"
028,"Слуга на відслузі, як пес на мотузі."
028,Наймит не по своїй волі ходить.
028,"Найнявся — як продався: скажуть дверима скрипати, то скрипай."
028,Як найнявся — так продався!
028,"Голод не тітка, найми не свій брат."
028,Не вжалуєш батька в наймах!
029,Од ціпа в спині сіпа.
029,За свій труд попав у хомут.
029,"Не довернешся б'ють, перевернешся б'ють."
029,"Гнись, не гнись, а в голобці становись!"
029,"Хто в службі не бував, той і нужди не видав."
029,"Не стільки набувся, скільки нагнувся."
029,"Працює, як чорний віл."
029,Працюємо до сьомого поту.
029,Роботи до самої суботи.
029,Панської роботи не переробиш.
029,За чужою роботою й світу не бачить.
029,"Вертиться, як у окропі муха!"
029,"Ганяють, як солоного зайця!"
030,"І голодно, і холодно, і додому далеко."
030,"Хто служить, той тужить."
030,Розірвись надвоє — скажуть: чому не начетверо?
030,"Моя зірко, служить панам гірко!"
030,Служив у дуки — натерпівся муки.
030,"Що за сон, як у головах шапка!"
030,"Ходячи наїсться, а стоячи виспиться."
030,Не з однієї печі хліб їв.
030,"Нема гірше, як бурлаці: куди не попхнуть, туди й поточиться."
030,З хазяйської правди наймитові очі лізуть.
030,"Як тут говорити, коли не дають і рота розтулити!"
030,Б'ють і плакать не дають.
030,"Бідному у багатого жить — або плакать, або тужить."
031,"Хоч їж, хоч дивись, аби ціле було й неголодний буф."
031,З'їж півбіди та напийся води!
031,"Дали кісточку: хоч зараз гризи, хоч на завтра положи!"
031,"Працюй, як коняка, а їж, як рябко!"
031,"Ні хліба, ні солі, і сам бурлак у неволі."
031,"Бить та лаять є кому, а годувать — так нікому!"
031,"Як приймали, то й сала давали, а як прийняли, то й хліба не дали."
031,"Добрий давалець: роботи дає зверхом, а харч видавцем."
031,"Плата, як у ката!"
031,Чужа шия не своя: зломиться — друга буде.
031,"Не літа зсушили тіло, а від праці помарніло."
031,Хоч у воду подивлюся на свою вроду!
031,"Однією рукою воли поганяє, а другою сльози утирає."
032,"Обмокляк вовк, обкисляк лис, а змерз як пес, та нічого не заробив!"
032,Заробила Гапка бісового батька.
032,У дуки служила — болячку заробила.
032,"Робиш, робиш — ні за тобою, ні перед тобою!"
032,Ходили три дні та й виходили злидні.
032,"Робити то є що, а заробити то ніде."
032,"Двом панам служить, а сорочки не має."
